gun,saat,sicaklik,durum
31,6,-4.8,Buzlanma
31,7,-2.3,Buzlanma
31,8,-0.3,Buzlanma
31,9,1.1,Buzlanma Riski
31,10,2.5,Buzlanma Riski
31,11,3.5,Buzlanma Riski
31,12,2.5,Buzlanma Riski
31,13,2.3,Buzlanma Riski
31,14,0.5,Buzlanma Riski
31,15,-3.5,Buzlanma
31,16,-4.1,Buzlanma
31,17,-3.7,Buzlanma
31,18,-3.7,Buzlanma
31,19,-4.0,Buzlanma
31,20,-3.3,Buzlanma
31,21,-3.7,Buzlanma
31,22,-3.0,Buzlanma
31,23,-4.9,Buzlanma
32,0,-4.2,Buzlanma
32,1,-3.5,Buzlanma
32,2,-4.1,Buzlanma
32,3,-5.8,Buzlanma
32,4,-4.8,Buzlanma
32,5,-4.0,Buzlanma
32,6,-3.3,Buzlanma
32,7,-2.0,Buzlanma
32,8,-2.1,Buzlanma
32,9,-1.5,Buzlanma
32,10,0.4,Buzlanma Riski
32,11,0.2,Buzlanma Riski
32,12,-0.0,Buzlanma
32,13,-0.8,Buzlanma
32,14,-1.6,Buzlanma
32,15,-2.1,Buzlanma
32,16,-2.6,Buzlanma
32,17,-2.9,Buzlanma
32,18,-3.0,Buzlanma
32,19,-3.7,Buzlanma
32,20,-3.5,Buzlanma
32,21,-3.1,Buzlanma
32,22,-3.1,Buzlanma
32,23,-3.2,Buzlanma
33,0,-4.7,Buzlanma
33,1,-4.4,Buzlanma
33,2,-5.0,Buzlanma
33,3,-4.3,Buzlanma
33,4,-4.1,Buzlanma
33,5,-4.0,Buzlanma
33,6,-3.5,Buzlanma
33,7,-2.8,Buzlanma
33,8,-1.6,Buzlanma
33,9,-0.6,Buzlanma
33,10,-0.1,Buzlanma
33,11,0.3,Buzlanma Riski
33,12,-0.2,Buzlanma
33,13,-1.2,Buzlanma
33,14,-4.1,Buzlanma
33,15,-3.4,Buzlanma
33,16,-7.9,Buzlanma
33,17,-10.4,Buzlanma
33,18,-9.7,Buzlanma
33,19,-11.5,Buzlanma
33,20,-12.9,Buzlanma
33,21,-11.6,Buzlanma
33,22,-7.8,Buzlanma
33,23,-6.7,Buzlanma
34,0,-8.1,Buzlanma
34,1,-7.5,Buzlanma
34,2,-9.7,Buzlanma
34,3,-7.8,Buzlanma
34,4,-9.9,Buzlanma
34,5,-8.2,Buzlanma
34,6,-6.4,Buzlanma
34,7,-6.3,Buzlanma
34,8,-3.7,Buzlanma
34,9,-2.3,Buzlanma
34,10,-1.6,Buzlanma
34,11,-1.4,Buzlanma
34,12,-0.6,Buzlanma
34,13,-2.5,Buzlanma
34,14,-5.3,Buzlanma
34,15,-5.2,Buzlanma
34,16,-5.9,Buzlanma
34,17,-7.0,Buzlanma
34,18,-6.7,Buzlanma
34,19,-8.3,Buzlanma
34,20,-9.9,Buzlanma
34,21,-11.4,Buzlanma
34,22,-10.3,Buzlanma
34,23,-10.2,Buzlanma
35,0,-7.7,Buzlanma
35,1,-8.4,Buzlanma
35,2,-7.9,Buzlanma
35,3,-7.5,Buzlanma
35,4,-6.9,Buzlanma
35,5,-6.4,Buzlanma
35,6,-4.9,Buzlanma
35,7,-3.2,Buzlanma
35,8,-2.0,Buzlanma
35,9,-1.5,Buzlanma
35,10,-1.5,Buzlanma
35,11,-1.4,Buzlanma
35,12,-0.5,Buzlanma
35,13,-1.1,Buzlanma
35,14,-2.1,Buzlanma
35,15,-3.2,Buzlanma
35,16,-3.8,Buzlanma
35,17,-6.2,Buzlanma
35,18,-4.8,Buzlanma
35,19,-5.1,Buzlanma
35,20,-5.9,Buzlanma
35,21,-5.4,Buzlanma
35,22,-6.0,Buzlanma
35,23,-6.7,Buzlanma
36,0,-8.1,Buzlanma
36,1,-8.5,Buzlanma
36,2,-7.0,Buzlanma
36,3,-6.5,Buzlanma
36,4,-5.9,Buzlanma
36,5,-5.8,Buzlanma
36,6,-4.2,Buzlanma
36,7,-3.2,Buzlanma
36,8,-1.2,Buzlanma
36,9,-0.7,Buzlanma
36,10,-0.8,Buzlanma
36,11,-0.5,Buzlanma
36,12,-0.5,Buzlanma
36,13,-1.1,Buzlanma
36,14,-2.4,Buzlanma
36,15,-2.6,Buzlanma
36,16,-5.1,Buzlanma
36,17,-5.2,Buzlanma
36,18,-6.3,Buzlanma
36,19,-6.7,Buzlanma
36,20,-5.9,Buzlanma
36,21,-6.3,Buzlanma
36,22,-5.3,Buzlanma
